0;ja;fr;sounds;notes;JLPT;tags
3635;寒いね。;It is cold, <strong>isn't it!</strong><br>It's cold, huh?<br/>;[sound:08-さむいね.ogg]<br>[sound:220828_2347_02.ogg]<br>[sound:寒いね！.ogg]<br>[sound:NDL_3758_Male.ogg];;N5;bunpro JLPT5 nihongoshark validated
4008;100万円ぐらいかかります。;It costs about one million yen.;[sound:01-100万円ぐらいかかります.ogg]<br>[sound:220830_2057.ogg]<br>[sound:１００万円ぐらいかかります。.ogg]<br>[sound:bunpro_100万円ぐらいかかります。.ogg];;N5;bunpro JLPT5 validated
4030;１０年ぐらい、経済を研究しています。;I have been researching economics for about ten years.;[sound:jlpt-tango_n5_tango_n5_1005.ogg];;N5;jlpt-tango/n5
4035;１０時に会社に着きます。;I arrive at the office at 10AM.;[sound:jlpt-tango_n5_tango_n5_0813.ogg];;N5;jlpt-tango/n5
4051;１２時に昼御飯を食べます。;I eat lunch at 12PM.;[sound:jlpt-tango_n5_tango_n5_0422.ogg];;N5;jlpt-tango/n5
4058;１２月になってから、暖房をつけなくてはいけない。;Once December comes, you have to turn on the heating.;[sound:01-12月になってから暖房を点けなくてはいけない.ogg]<br>[sound:220831_1216_01.ogg]<br>[sound:１２月になってから、暖房をつけなくてはいけない。.ogg]<br>[sound:bunpro_１２月になってから、暖房をつけなくてはいけない。.ogg];;N5;bunpro JLPT5 validated
4066;14歳ぐらいから、私は仕事をした。;I worked from about the age of 14.;[sound:02-14歳ぐらいから私は仕事をした.ogg]<br>[sound:220830_2057_03.ogg]<br>[sound:１４歳ぐらいから、私は仕事をした。.ogg]<br>[sound:bunpro_14歳ぐらいから、私は仕事をした。.ogg];;N5;bunpro JLPT5 validated
4162;１時間友達を待ちました。;I waited for my friend for an hour.;[sound:jlpt-tango_n5_tango_n5_0815.ogg];;N5;jlpt-tango/n5
4164;１月は雨が少ないです。;There is little rain in January.;[sound:jlpt-tango_n5_tango_n5_0600.ogg];;N5;jlpt-tango/n5
4170;１週間に１回、選択します。;I do the laundry once a week.;[sound:jlpt-tango_n5_tango_n5_0853.ogg];;N5;jlpt-tango/n5
4171;１週間に３回コンビニへ行きます。;I go to a convenience store three times a week.;[sound:jlpt-tango_n5_tango_n5_0149.ogg];;N5;jlpt-tango/n5
4213;２、３日会社を休みます。;I will take two or thee days off from work.;[sound:jlpt-tango_n5_tango_n5_0959.ogg];;N5;jlpt-tango/n5
4246;２時から始まります。;It starts from two o'clock.;[sound:05-二時から始まります.ogg]<br>[sound:220829_1552.ogg]<br>[sound:２時から始まります。.ogg]<br>[sound:bunpro_２時から始まります。.ogg];;N5;bunpro JLPT5 validated
4272;３０分ぐらい休みましょう。;Let's rest for about 30 minutes.;[sound:jlpt-tango_n5_tango_n5_0279.ogg];;N5;jlpt-tango/n5
4372;「５００メートルぐらいあるきます。」;You need to walk about 500 meters.;[sound:jlpt-tango_n5_tango_n5_0797.ogg];;N5;jlpt-tango/n5
4414;６時にパーティーを始めます。;The party will start at 6:00PM.;[sound:jlpt-tango_n5_tango_n5_0720.ogg];;N5;jlpt-tango/n5
4420;６月は雨が多いです。;It rains a lot in June.;[sound:jlpt-tango_n5_tango_n5_0599.ogg];;N5;jlpt-tango/n5
4434;７時に朝ご飯を食べます。;I eat breakfast at 7AM.;[sound:jlpt-tango_n5_tango_n5_0421.ogg];;N5;jlpt-tango/n5
4436;７時までです。;Until seven o’clock.;[sound:05-七時までです.ogg]<br>[sound:220830_2058_01.ogg]<br>[sound:７時までです。.ogg]<br>[sound:bunpro_７時までです。.ogg];;N5;bunpro JLPT5 validated
4441;７月に富士山に登ります。;I will climb Mount Fuji in July.;[sound:jlpt-tango_n5_tango_n5_0574.ogg];;N5;jlpt-tango/n5
4451;８０歳です。年を取りました。;I am 80 years old. I have grown old.;[sound:jlpt-tango_n5_tango_n5_0887.ogg];;N5;jlpt-tango/n5
4453;８時４０分ごろ学校へ行きます。;I go to school around 8:40AM.;[sound:jlpt-tango_n5_tango_n5_0275.ogg];;N5;jlpt-tango/n5
4456;８時にうちを出ます。;I leave the house at 8AM.;[sound:jlpt-tango_n5_tango_n5_0812-1.ogg];;N5;jlpt-tango/n5
4460;８時まで、テレビを見る。;To watch TV until eight o'clock.;[sound:01-8時までテレビを見る.ogg]<br>[sound:220830_2058_04.ogg]<br>[sound:８時まで、テレビを見る。.ogg]<br>[sound:bunpro_８時まで、テレビを見る。.ogg];;N5;bunpro JLPT5 validated
4468;８番線で急行に乗ります。;I will take the express from track number 8.;[sound:jlpt-tango_n5_tango_n5_0746.ogg];;N5;jlpt-tango/n5
4475;「９万円です。」;It is 90,000 yen.;[sound:jlpt-tango_n5_tango_n5_0640.ogg];;N5;jlpt-tango/n5
4483;ⓐ「１週間に何回行きますか。」<br>ⓑ「２回行きます。」;"ⓐ ""How many times do you go per week?""<br>ⓑ ""I go twice.""";[sound:jlpt-tango_n5_tango_n5_0150.ogg];;N5;jlpt-tango/n5
4484;ⓐ「ATMの使い方がわかりません。」<br>ⓑ「お引き出しですか。」<br>ⓐ「はい。」<br>ⓑ「では、こちらへどうぞ。」;"ⓐ ""I don't know how to use the ATM.""<br>ⓑ ""Are you here for a withdrawal?""<br>ⓐ ""Yes.""<br>ⓑ ""Then come this way please.""";[sound:jlpt-tango_n5_tango_n5_0681.ogg];;N5;jlpt-tango/n5
4486;ATMでお金を下ろします。;I withdraw cash from the ATM.;[sound:jlpt-tango_n5_tango_n5_0684.ogg];;N5;jlpt-tango/n5
4490;ⓐ「あのー、郵便局はどこですか。」<br>ⓑ「えーっと、あそこですよ。でも、今日は休みですよ。」<br>ⓐ「どうしてですか。」<br>ⓑ「土曜日ですから。」<br>ⓐ「そうですか。分かりました。ありがとうごさいます。」;"ⓐ ""Excuse me, where is the post office?""<br>ⓑ ""Um…, it's there. But it's closed today.""<br>ⓐ ""Why is that?""<br>ⓑ ""Because it's Saturday""<br>ⓐ ""Okay, I understand. Thank you.""";[sound:jlpt-tango_n5_tango_n5_1046.ogg];;N5;jlpt-tango/n5
4491;ⓐ「あの人は誰ですか。」<br>ⓑ「ホアンさんですよ。」;"ⓐ ""Who is that person?""<br>ⓑ ""It is Huang-san.""";[sound:jlpt-tango_n5_tango_n5_0721.ogg];;N5;jlpt-tango/n5
4496;ⓐ「いつ、国へ帰りますか。」<br>ⓑ「来年、帰ります。」;"ⓐ ""When are you returning to your country?""<br>ⓑ ""I will return next year.""";[sound:jlpt-tango_n5_tango_n5_0608.ogg];;N5;jlpt-tango/n5
4497;ⓐ「おはようございます。いいお天気ですね。」<br>ⓑ「そうですね。」;"ⓐ ""Good morning. The weather is nice, isn't it?""<br>ⓑ ""Yes, it sure is.""";[sound:jlpt-tango_n5_tango_n5_0591.ogg];;N5;jlpt-tango/n5
4498;ⓐ「お世話になりました。」<br>ⓑ「いいえ、こちらこそ。」;"ⓐ ""Thank you for taking care of me.""<br>ⓑ ""Not at all, and I thank you the same.""";[sound:jlpt-tango_n5_tango_n5_0911.ogg];;N5;jlpt-tango/n5
4499;ⓐ「(お)仕事は？」<br>ⓑ「教師です。」;"ⓐ ""What is your job?""<br>ⓑ ""I am a teacher.""";[sound:jlpt-tango_n5_tango_n5_0222.ogg];;N5;jlpt-tango/n5
4501;ⓐ「お名前は？」<br>ⓑ「トムです。」;"ⓐ ""What's your name?""<br>ⓑ ""Tom.""";[sound:jlpt-tango_n5_tango_n5_0008.ogg];;N5;jlpt-tango/n5
4502;ⓐ「お国はどちらですか。」<br>ⓑ「ケニアです。」;"ⓐ ""Which country are you from?""<br>ⓑ ""I'm from Kenya.""";[sound:jlpt-tango_n5_tango_n5_0070.ogg];;N5;jlpt-tango/n5
4505;ⓐ「お誕生日おめでとうございます。」<br>ⓑ「ありがとうございます。」;"ⓐ ""Happy Birthday.""<br>ⓑ ""Thank you.""";[sound:jlpt-tango_n5_tango_n5_0727.ogg];;N5;jlpt-tango/n5
4506;ⓐ「クラシックとジャズとどちらが好きですか。」<br>ⓑ「どちらも好きです。」;"ⓐ ""Which do you like, classical music or jazz?""<br>ⓑ ""I like both.""";[sound:jlpt-tango_n5_tango_n5_0550.ogg];;N5;jlpt-tango/n5
4507;ⓐ「コーヒーと紅茶とどちらがいいですか。」<br>ⓑ「紅茶がいいです。」;"ⓐ ""Which would you like, coffee or black tea?""<br>ⓑ ""I would like black tea.""";[sound:jlpt-tango_n5_tango_n5_0446.ogg];;N5;jlpt-tango/n5
4508;ⓐ「このカメラは５００,０００円です。」<br>ⓑ「えっ？」;"ⓐ ""This camera is 500,000 yen.""<br>ⓑ ""Really?""";[sound:jlpt-tango_n5_tango_n5_0996.ogg];;N5;jlpt-tango/n5
4511;ⓐ「これでお願いします。」<br>ⓑ「はい。」;"ⓐ ""This one, please.""<br>ⓑ ""Okay.""";[sound:jlpt-tango_n5_tango_n5_0501.ogg];;N5;jlpt-tango/n5
4513;ⓐ「これは何ですか。」<br>ⓑ「本です。」;"ⓐ ""What is this?""<br>ⓑ ""It's a book.""";[sound:jlpt-tango_n5_tango_n5_0243.ogg];;N5;jlpt-tango/n5
4514;ⓐ「これ、プレゼントです。」<br>ⓑ「わあ、ありがとうございます。」;"ⓐ ""This is a present.""<br>ⓑ ""Oh, thank you very much.""";[sound:jlpt-tango_n5_tango_n5_0728.ogg];;N5;jlpt-tango/n5
4515;ⓐ「ご両親はどちらにいらっしゃいますか。」<br>ⓑ「トルコにいます。」;"ⓐ ""Where are your parents?""<br>ⓑ ""They are in Turkey.""";[sound:jlpt-tango_n5_tango_n5_0905.ogg];;N5;jlpt-tango/n5
4516;ⓐ「ご注文は？」<br>ⓑ「サンドイッチをお願いします。」;"ⓐ ""What would you like to order?""<br>ⓑ ""One sandwich please.""";[sound:jlpt-tango_n5_tango_n5_0500.ogg];;N5;jlpt-tango/n5
4517;ⓐ「サッカーと野球とどちらが好きですか。」<br>ⓑ「サッカーの方が好きです。」;"ⓐ ""Which do you like, soccer or baseball.""<br>ⓑ ""I like soccer more.""";[sound:jlpt-tango_n5_tango_n5_0525.ogg];;N5;jlpt-tango/n5
4518;ⓐ「サッカーと野球とどっちが好き？」<br>ⓑ「サッカーの方が好き」;"ⓐ ""Which do you like, soccer or baseball.""<br>ⓑ ""I like soccer more.""";[sound:jlpt-tango_n5_tango_n5_0527.ogg];;N5;jlpt-tango/n5
4526;ⓐ「デパートはどの建物ですか。」<br>ⓑ「あの建物です。」;"ⓐ ""Which building is the department store?""<br>ⓑ ""It's that building over there.""";[sound:jlpt-tango_n5_tango_n5_0863.ogg];;N5;jlpt-tango/n5
4529;ⓐ「どちらが勝つでしょうか。」<br>ⓑ「さあ…わかりません。」;"ⓐ ""Which side do you think will win?""<br>ⓑ ""Hmm….. I don't know.""";[sound:jlpt-tango_n5_tango_n5_0579.ogg];;N5;jlpt-tango/n5
4530;ⓐ「トムさんですか。」<br>ⓑ「はい。」;"ⓐ ""Are you Tom?""<br>ⓑ ""Yes.""";[sound:jlpt-tango_n5_tango_n5_0003.ogg];;N5;jlpt-tango/n5
4531;ⓐ「どんな所に住みたいですか。」<br>ⓑ「便利な所に住みたいです。」;"ⓐ ""What kind of place do you want to live in?""<br>ⓑ ""I want to live some place convenient.""";[sound:jlpt-tango_n5_tango_n5_0876.ogg];;N5;jlpt-tango/n5
4532;ⓐ「パソコンが何台ありますか。」<br>ⓑ「２台あります。」;"ⓐ ""How many computers are there?""<br>ⓑ ""There are two of them.""";[sound:jlpt-tango_n5_tango_n5_0268.ogg];;N5;jlpt-tango/n5
4533;ⓐ「ピアノを弾いてもいいですか。」<br>ⓑ「はい、どうぞ。」;"ⓐ ""Can you play the piano.""<br>ⓑ ""Yes, please.""";[sound:jlpt-tango_n5_tango_n5_0556.ogg];;N5;jlpt-tango/n5
4535;ⓐ「ホアンさんのへやは何階ですか。」<br>ⓑ「２階です。」;"ⓐ ""Which floor is Huang-san's room on.""<br>ⓑ ""It's on the second floor.""";[sound:jlpt-tango_n5_tango_n5_0870.ogg];;N5;jlpt-tango/n5
4536;ⓐ「ホアンさんは何歳ですか。」<br>ⓑ「２１歳です。」;"ⓐ ""How old are you Huang-san?""<br>ⓑ ""I'm 21 years old.""";[sound:jlpt-tango_n5_tango_n5_0729.ogg];;N5;jlpt-tango/n5
4537;ⓐ「もしもし、山田さんですか。」<br>ⓑ「はい、そうです。」;"ⓐ ""Hello, is this Yamada-san?""<br>ⓑ ""Yes it is.""";[sound:jlpt-tango_n5_tango_n5_0214.ogg];;N5;jlpt-tango/n5
4539;ⓐ「レストランで何を食べましたか。」<br>ⓑ「パスタを食べました。」;"ⓐ ""What did you eat at the restaurant?""<br>ⓑ ""I had pasta.""";[sound:jlpt-tango_n5_tango_n5_0483.ogg];;N5;jlpt-tango/n5
4540;ⓐ「一人で大丈夫ですか。」<br>ⓑ「はい。」;"ⓐ ""Are you ok on your own.""<br>ⓑ ""Yes.""";[sound:jlpt-tango_n5_tango_n5_0977.ogg];;N5;jlpt-tango/n5
4542;ⓐ「今、何時ですか。」<br>ⓑ「２時半です。」;"ⓐ ""What time is it now?""<br>ⓑ ""It's 2:30.""";[sound:jlpt-tango_n5_tango_n5_0278.ogg];;N5;jlpt-tango/n5
4544;ⓐ「今日は何日ですか。」<br>ⓑ「５日です。」;"ⓐ ""What is today's date.""<br>ⓑ ""It's the 5th.""";[sound:jlpt-tango_n5_tango_n5_0732.ogg];;N5;jlpt-tango/n5
4546;ⓐ「今日は駄目ですか。」<br>ⓑ「はい。今日はちょっと。」;"ⓐ ""Are things going poorly today?""<br>ⓑ ""Yes. Today is not going very well.""";[sound:jlpt-tango_n5_tango_n5_0821.ogg];;N5;jlpt-tango/n5
4547;ⓐ「今朝、５時に起きました。」<br>ⓑ「早いですね。」;"ⓐ ""I woke up at 5AM this morning.""<br>ⓑ ""That's early, isn't it?""";[sound:jlpt-tango_n5_tango_n5_0407.ogg];;N5;jlpt-tango/n5
4548;ⓐ「仕事はどうですか。」<br>ⓑ「そうですね。忙しいですが、面白いです。」;"ⓐ ""How is your work?""<br>ⓑ ""Let's see. I'm busy, but it's interesting.""";[sound:jlpt-tango_n5_tango_n5_1037.ogg];;N5;jlpt-tango/n5
4549;ⓐ「他にご注文は？」<br>ⓑ「コーヒーをお願いします。」;"ⓐ ""Would you like anything else?""<br>ⓑ ""Coffee, please.""";[sound:jlpt-tango_n5_tango_n5_0502.ogg];;N5;jlpt-tango/n5
4550;ⓐ「何を飲む？」<br>ⓑ「僕はジュース。」;"ⓐ ""What do you want to drink?""<br>ⓑ ""I will have juice.""";[sound:jlpt-tango_n5_tango_n5_0908.ogg];;N5;jlpt-tango/n5
4551;ⓐ「何人ですか。」<br>ⓑ「３人です。」;"ⓐ ""How many people are there?""<br>ⓑ ""We have 3 people.""";[sound:jlpt-tango_n5_tango_n5_0061.ogg];;N5;jlpt-tango/n5
4552;ⓐ「何時ですか。」<br>ⓑ「３時です。」;"ⓐ ""What time is it?""<br>ⓑ ""It's three o'clock.""";[sound:jlpt-tango_n5_tango_n5_0270.ogg];;N5;jlpt-tango/n5
4553;ⓐ「何時何分ですか。」<br>ⓑ「６時２０分です。」;"ⓐ ""What time is it exactly?""<br>ⓑ ""It is 6:20.""";[sound:jlpt-tango_n5_tango_n5_0271.ogg];;N5;jlpt-tango/n5
4554;ⓐ「何月ですか。」<br>ⓑ「５月です。」;"ⓐ ""What month is it?""<br>ⓑ ""It's May.""";[sound:jlpt-tango_n5_tango_n5_0132.ogg];;N5;jlpt-tango/n5
4556;ⓐ「先生の鞄はどれですか。」<br>ⓑ「あれです」;"ⓐ ""Which bag is the teacher's?""<br>ⓑ ""That one.""";[sound:jlpt-tango_n5_tango_n5_0238-2.ogg];;N5;jlpt-tango/n5
4557;ⓐ「分かりましたか。」<br>ⓑ「いいえ。全然わかりませんでした。」;"ⓐ ""Did you understand?""<br>ⓑ ""No, I did not understand at all.""";[sound:jlpt-tango_n5_tango_n5_0167.ogg];;N5;jlpt-tango/n5
4558;ⓐ「危ないです。気をつけてください。」<br>ⓑ「はい。」;"ⓐ ""Watch out. Please be careful.""<br>ⓑ ""Yes.""";[sound:jlpt-tango_n5_tango_n5_0913.ogg];;N5;jlpt-tango/n5
4567;ⓐ「土曜日のお花見に行きますか。」<br>ⓑ「はい、もちろんです。」;"ⓐ ""Will you go to flower viewing on Saturday?""<br>ⓑ ""Yes, of course.""";[sound:jlpt-tango_n5_tango_n5_0634.ogg];;N5;jlpt-tango/n5
4569;ⓐ「失礼ですが、お名前は？」<br>ⓑ「山田です。」;"ⓐ ""Excuse me, but what is your name?""<br>ⓑ ""I'm Yamada.""";[sound:jlpt-tango_n5_tango_n5_1038.ogg];;N5;jlpt-tango/n5
4571;ⓐ「山田さんですか。」<br>ⓑ「いいえ。」;"ⓐ ""Are you Yamada?""<br>ⓑ ""No.""";[sound:jlpt-tango_n5_tango_n5_0011.ogg];;N5;jlpt-tango/n5
4572;ⓐ「山田さんですか。」<br>ⓑ「いいえ、違います。田中です。」;"ⓐ ""Are you Yamada?""<br>ⓑ ""No, that is not correct. I am Tanaka.""";[sound:jlpt-tango_n5_tango_n5_0013.ogg];;N5;jlpt-tango/n5
4573;ⓐ「山田さんですか。」<br>ⓑ「ええ、そうです。」;"ⓐ ""Are you Yamada?""<br>ⓑ ""Yes, I am.""";[sound:jlpt-tango_n5_tango_n5_0010.ogg];;N5;jlpt-tango/n5
