word|kana|common_flag
Α|アルファ|false
Β|ベータ|false
Γ|ガンマ|false
Δ|デルタ|false
Ω|オメガ|false
α|アルファ|false
β|ベータ|false
γ|ガンマ|false
δ|デルタ|false
ω|オメガ|false
〆|しめ|false
〆切|しめきり|false
〆切り|しめきり|false
〆切る|しめきる|false
〇|れい|true
〇|ゼロ|true
〇点|れいてん|false
〒|ゆうびん|false
あ|あっ|false
あ|われ|false
あ〜|ああ|false
あ〜あ|ああ|false
あ〜っ|ああ|false
あぁ|ああ|false
ああ|ああ|true
ああぁ|ああ|false
ああああ|ああああ|true
ああいう|ああいう|true
ああっ|ああ|false
ああゆう|ああいう|false
ああー|ああ|false
ああ言う|ああいう|true
あい|あい|true
あいかわらず|あいかわらず|true
あいきょう|あいきょう|true
あいぎょう|あいきょう|false
あいけん|あいけん|true
あいこう|あいこう|true
あいこく|あいこく|true
あいことば|あいことば|true
あいご|あいご|true
あいさつ|あいさつ|true
あいしゅう|あいしゅう|true
あいしょう|あいしょう|true
あいじょう|あいじょう|true
あいじん|あいじん|true
あいす|あいす|true
あいする|あいする|true
あいず|あいず|true
あいずち|あいづち|false
あいそ|あいそ|true
あいそう|あいそ|true
あいぞう|あいぞう|true
あいたい|あいたい|true
あいだ|あいだ|true
あいだがら|あいだがら|true
あいだじゅう|あいだじゅう|true
あいちゃく|あいちゃく|true
あいつ|あいつ|true
あいつぐ|あいつぐ|true
あいつら|あいつら|true
あいつ等|あいつら|false
あいづち|あいづち|true
あいて|あいて|true
あいてかた|あいてかた|true
あいてがた|あいてかた|false
あいてどる|あいてどる|true
あいとう|あいとう|true
あいどく|あいどく|true
あいにく|あいにく|true
あいのり|あいのり|true
あいぼう|あいぼう|true
あいま|あいま|true
あいまい|あいまい|true
あいまって|あいまって|true
あいよう|あいよう|true
あい変らず|あいかわらず|false
あい変わらず|あいかわらず|false
あい昧|あいまい|false
あう|あう|true
あえて|あえて|true
あえん|あえん|true
あお|あお|true
あおい|あおい|true
あおいろ|あおいろ|true
あおうめ|あおうめ|true
あおき|あおき|true
あおぐ|あおぐ|true
あおざめる|あおざめる|true
あおじゃしん|あおじゃしん|true
あおじろい|あおじろい|true
あおぞら|あおぞら|true
あおたがい|あおたがい|true
あおば|あおば|true
あおむけ|あおむけ|true
あおやぎ|あおやぎ|true
あおやなぎ|あおやぎ|false
あおやま|せいざん|false
あおる|あおる|true
あお向け|あおむけ|false
あか|あか|true
あか|どう|false
あかい|あかい|true
あかいろ|あかいろ|true
あかがね|どう|false
あかし|あかし|true
あかしんごう|あかしんごう|true
あかじ|あかじ|true
あかす|あかす|true
あかちゃん|あかちゃん|true
あかつき|あかつき|true
あかとき|あかつき|false
あかはた|あかはた|true
あかまつ|あかまつ|true
あかり|あかり|true
あかるい|あかるい|true
あかんぼ|あかんぼう|false
あかんぼう|あかんぼう|true
あがったり|あがったり|true
あがり|あがり|true
あがる|あがる|true
あき|あき|true
あきうど|しょうにん|false
あきかぜ|あきかぜ|true
あきかん|あきかん|true
あきぐち|あきぐち|true
あきす|あきす|true
あきち|あきち|true
あきない|あきない|true
あきばれ|あきばれ|true
あきびと|しょうにん|false
あきや|あきや|true
あきゅうど|しょうにん|false
あきらか|あきらか|true
あきらめる|あきらめる|true
あきる|あきる|true
あきれる|あきれる|true
あきんど|しょうにん|false
あき地|あきち|false
あき家|あきや|false
あき屋|あきや|false
あき缶|あきかん|false
あく|あく|true
あくい|あくい|true
あくえいきょう|あくえいきょう|true
あくしつ|あくしつ|true
あくしゅ|あくしゅ|true
あくしゅう|あくしゅう|true
あくじ|あくじ|true
あくじゅんかん|あくじゅんかん|true
あくじょ|あくじょ|true
あくせい|あくせい|true
あくてんこう|あくてんこう|true
あくと|かかと|false
あくとく|あくとく|true
あくにん|あくにん|true
あくび|あくび|true
あくま|あくま|true
あくまでも|あくまでも|true
あくむ|あくむ|true
あくやく|あくやく|true
あくよう|あくよう|true
あくりょく|あくりょく|true
あくる|あくる|true
あくるひ|あくるひ|true
あくる日|あくるひ|true
あぐら|あぐら|true
あけ|あけ|true
あけがた|あけがた|true
あけくれ|あけくれ|true
あけぼの|あけぼの|true
あけましておめでとうございます|あけましておめでとうございます|true
あける|あける|true
あげ|あげ|true
あげく|あげく|true
あげる|あげる|true
あこ|あそこ|false
あこがれ|あこがれ|true
あこがれのまと|あこがれのまと|true
あこがれる|あこがれる|true
あご|あご|true
あさ|あさ|true
あさい|あさい|true
あさいちばん|あさいちばん|true
あさがお|あさがお|true
あさがた|あさがた|true
あさぎり|あさぎり|true
あさぐろい|あさぐろい|true
あさごはん|あさごはん|true
あさせ|あさせ|true
あさって|あさって|true
あさぬの|あさぬの|true
あさねぼう|あさねぼう|true
あさはか|あさはか|true
あさはん|あさめし|false
あさばん|あさばん|true
あさひ|あさひ|true
あさめし|あさめし|true
あさゆう|あさゆう|true
あさる|あさる|true
あさ飯|あさめし|false
あざ|あざ|true
あざける|あざける|true
あざむく|あざむく|true
あざやか|あざやか|true
あし|あし|true
あしあと|あしあと|true
あしおと|あしおと|true
あしからず|あしからず|true
あしがかり|あしがかり|true
あしくび|あしくび|true
あしこ|あそこ|false
あしこし|あしこし|true
あした|あした|true
あしどめ|あしどめ|true
あしどり|あしどり|true
あしなみ|あしなみ|true
あしば|あしば|true
あしばや|あしばや|true
あしぶみ|あしぶみ|true
あしもと|あしもと|true
あじ|あじ|true
あじきない|あじけない|false
あじけない|あじけない|true
あじさい|あじさい|true
あじつけ|あじつけ|true
あじのもと|あじのもと|true
あじわい|あじわい|true
あじわう|あじわう|true
あす|あした|true
あすこ|あそこ|false
